systemThrouput,
4.93622341,5.023557684
4.939078577,5.01050616
4.930460959,5.017106941
4.941342932,5.026072815
4.944551374,5.033308358
4.933474939,5.025038242
4.939351027,5.017323624
4.94171847,5.00899117
4.941007169,5.011252379
4.946187211,5.017023685
4.931110972,5.004406552
4.950364067,5.002647181
4.950128719,5.013618753
4.933202495,5.01233969
4.955789094,5.006823815
4.939321823,5.014577735
4.929595044,5.027960843
4.934384878,5.019002217
4.957127264,5.013273105
4.956965651,5.006563585
4.948444141,5.016960827
4.941799748,5.02507469
4.939582547,5.038105052
4.942043415,5.018846453
4.944397987,5.017031972
4.934442682,4.995123934
4.939951563,5.014943268
4.947361538,5.024721727
4.931626485,5.01437339
4.939189886,5.035320306
4.939660227,5.021591143
4.946129998,5.007893199
4.935835326,4.998509493
4.929748382,4.998461113
4.943556384,5.04030464
4.933505849,5.029658699
4.940836091,5.00711293
4.953994527,5.018484211
4.936798219,5.012092872
4.942269802,5.015558578
4.947416575,5.018087635
4.948422341,5.004590767
4.933079226,5.011067075
4.949163146,5.005184722
4.934998312,5.010663115
4.948369829,5.035908408
4.941266204,5.01665558
4.946039772,5.019628206
4.936497921,5.02770017
4.939857167,5.011823692
4.941043182,4.997040614
4.948717684,5.013850214
4.943201865,5.037642752
4.950423038,4.995429994
4.942367403,5.032240297
4.936476516,5.028461578
4.952536956,5.025464857
4.949595115,5.008790282
4.950545303,5.018270847
4.942685576,5.008228214
4.945703183,5.023923547
4.943501724,5.002569664
4.940057791,5.007896591
4.938275897,5.010809551
4.944686534,5.024407083
4.942126031,5.017700844
4.952049365,5.037819346
4.940549676,5.013202851
4.953391509,5.012323685
4.940069564,5.020359848
4.934335159,5.034822458
4.949132677,5.015126823
4.944138103,4.999590476
4.94848778,5.006550764
4.945027584,5.015828501
4.931801123,5.045179791
